Product Name,Manufacturer,CPU manufacturer,CPU brand modifier,CPU generation,CPU Speed (GHz),RAM (GB),RAM Type,Bus (MHz),Storage (GB),Screen Size (inch),Screen Resolution,Refresh Rate (Hz),GPU manufacturer,Weight (kg),Battery,Price (VND),url,source,saved_path,detail_specs_html_path
Laptop ASUS Vivobook S14 S3407VA-LY146W (Intel Core 5 210H),Laptop Asus,Intel,,,2.2,,,,,14,1920 x 1200,,Intel,1.39,70 Wh,20290000,https://www.anphatpc.com.vn/laptop-asus-vivobook-s14-s3407va-ly146w.html,anphat,data/anphat/raw_htmls/0023.html,
Laptop Acer Aspire Lite 14 AL14-71P-55P9 NX.D7USV.001,Laptop Acer,Intel,i5-13500h,13,,,,,2000,14,1920 x 1200,60,Intel,1.45,58 Wh,18690000,https://www.anphatpc.com.vn/laptop-acer-aspire-lite-14-al14-71p-55p9-nx.d7usv.001.html,anphat,data/anphat/raw_htmls/0024.html,
Laptop HP 15-fd0306TU A2NL7PA (Intel Core i3-1315U),Laptop HP,Intel,i3-1315u,13,,,,,,15.6,1920 x 1080,,Intel,1.59,41 Wh,13890000,https://www.anphatpc.com.vn/laptop-hp-hp-15-fd0306tu-a2nl7pa.html,anphat,data/anphat/raw_htmls/0025.html,
Laptop Dell 15 DC15250-i5U165W11SLU-5,Laptop Dell,Intel,core i5,,,,,,,15.6,1920 x 1080,,Intel,1.9,41 Wh,19890000,https://www.anphatpc.com.vn/laptop-dell-15-dc15250-i5u165w11slu-5.html,anphat,data/anphat/raw_htmls/0026.html,
Laptop Acer Aspire Go 15 AG15-72P-54GY NX.JRRSV.002,Laptop Acer,Intel,,,5.00,,,3200,,15.6,1920 x 1080,60,Intel,1.53,55 Wh,17990000,https://www.anphatpc.com.vn/laptop-acer-aspire-go-15-ag15-72p-54gy-nx.jrrsv.002.html,anphat,data/anphat/raw_htmls/0027.html,
Laptop Dell 15 DC15250 CPH99 (Intel Core i5-1334U),Laptop Dell,Intel,i5-1334u,13,,,,,,15.6,1920 x 1080,,Intel,1.65,41 Wh,19890000,https://www.anphatpc.com.vn/laptop-dell-15-dc15250-cph99.html,anphat,data/anphat/raw_htmls/0029.html,
Laptop ASUS TUF Gaming F16 FX607VU-RL045W (Intel Core 5),Laptop Asus,Intel,,,2.2,,,,,16,1920 x 1200,144,NVIDIA,2.20,56 Wh,26990000,https://www.anphatpc.com.vn/laptop-asus-tuf-gaming-f16-fx607vu-rl045w.html,anphat,data/anphat/raw_htmls/0030.html,
Laptop HP 250R G9 B93H2AT (Intel Core i5-1334U),Laptop HP,Intel,i5-1334u,13,,,,,,15.6,1920 x 1080,,Intel,1.74,41 Wh,16690000,https://www.anphatpc.com.vn/laptop-hp-250r-g9-b93h2at.html,anphat,data/anphat/raw_htmls/0031.html,
Laptop Acer Gaming Nitro ProPanel ANV15-52-59AA (RTX5050),Laptop Acer,Intel,i5-13420h,13,,,,,2000,15.6,1920 x 1080,180,NVIDIA,2.1,76 Wh,33999000,https://www.anphatpc.com.vn/laptop-acer-gaming-nitro-v-15-propanel-anv15-52-59aa-nh.qz9sv.002.html,anphat,data/anphat/raw_htmls/0032.html,
Laptop Acer Aspire 5 A514-56P-55K5 NX.KHRSV.003 | An Phát Computer,Laptop Acer,Intel,i5-1335u,13,,,,6400,,14,1920 x 1200,60,Intel,1.5,50 Wh,18299000,https://www.anphatpc.com.vn/laptop-acer-aspire-5-a514-56p-55k5-nx.khrsv.003.html,anphat,data/anphat/raw_htmls/0033.html,
Laptop LENOVO LOQ 15ARP10E 83S0004FVN,Laptop Lenovo,AMD,,,,,,,1000,15.6,1920 x 1080,144,NVIDIA,1.8,57.5 Wh,27990000,https://www.anphatpc.com.vn/laptop-lenovo-loq-15arp10e-83s0004fvn.html,anphat,data/anphat/raw_htmls/0034.html,
"Laptop ASUS Vivobook X1404VA-EB509W (Core i3, 14 inch)",Laptop Asus,Intel,i3-1315u,13,1.2,,,,,14,1920 x 1080,,Intel,1.40,42 Wh,13890000,https://www.anphatpc.com.vn/laptop-asus-vivobook-x1404va-eb509w.html,anphat,data/anphat/raw_htmls/0035.html,
