Product Name,Manufacturer,CPU manufacturer,CPU brand modifier,CPU generation,CPU Speed (GHz),RAM (GB),RAM Type,Bus (MHz),Storage (GB),Screen Size (inch),Screen Resolution,Refresh Rate (Hz),GPU manufacturer,GPU model,GPU type,Weight (kg),Battery,Battery (Wh),Battery life (hours),Price (VND),Original Price (VND),Is Installment 0%,Student Discount (VND),Gifts,Stock Status,url,image,source,saved_path,detail_specs_html_path,norm_ram,norm_storage,norm_price,norm_weight,norm_screen,norm_battery,gpu_score,norm_cpu,battery_score,base_performance_score,gaming_score,ai_graphics_score,office_score,portability_score,general_score,is_gaming_ready,is_ai_ready,is_business_ready,is_ultrabook,is_light,is_small_screen,is_large_screen
MacBook Neo 13 8GB/256GB/20W,apple,Apple,nan,nan,nan,8,,,256.0,13.0,,nan,Apple,Apple A18 PRO GPU,Integrated,nan,16 hours,nan,16.0,15990000,nan,False,0,,In Stock,https://fptshop.com.vn/may-tinh-xach-tay/macbook-neo-13-inch-8gb-256gb?sku=00926644,https://cdn2.fptshop.com.vn/unsafe/Mac_Book_13_in_A18_Pro_Citrus_1_f70ec68b06.png,fpt,,,0.0,0.0,0.0,0.5,0.0,0.5,0.48,0.1925,0.5,0.230625,0.34565625,0.3331875,0.37878124999999996,0.6000000000000001,0.3711703125,False,False,False,False,False,True,False
"Laptop Acer Aspire Lite 14 AI AL14-53P-5387 Ultra5 115U/16GB/512GB/14"" FHD+/Win 11",acer,Intel,core ultra 5,5.0,nan,16,,,512.0,14.0,,nan,Intel,Intel Graphics,Integrated,nan,nan,nan,nan,23490000,nan,False,0,,In Stock,https://fptshop.com.vn/may-tinh-xach-tay/acer-aspire-lite-14-ai-al14-53p-5387?sku=00928035,https://cdn2.fptshop.com.vn/unsafe/acer_aspire_lite_14_ai_al14_53p_bac_01_820acdbb1d.png,fpt,,,0.23076923076923067,0.0,0.09969788519637462,0.5,0.1666666666666668,0.5,0.48,0.4481428571428572,0.5,0.38027967032967036,0.4176853021978022,0.4126992857142857,0.4461258516483516,0.5666666666666667,0.44718785119047616,False,False,False,False,False,True,False
"Laptop Asus TUF Gaming A16 FA607NUG-RL129W R7-7445HS/16GB/512GB/16"" FHD+/Nvidia RTX4050 6GB/W11",asus,AMD,ryzen 7,7.0,nan,16,,,512.0,16.0,,nan,NVIDIA,RTX 4050,Dedicated,nan,nan,nan,nan,27990000,nan,False,0,,In Stock,https://fptshop.com.vn/may-tinh-xach-tay/asus-tuf-gaming-fa607nug-rl129w-r7-7445hs?sku=00923544,https://cdn2.fptshop.com.vn/unsafe/asus_tuf_gaming_fa607nu_01_8f99d6ac66.png,fpt,,,0.23076923076923067,0.0,0.16767371601208458,0.5,1.0,0.5,0.64,0.5790000000000001,0.5,0.48716538461538467,0.5404067307692307,0.532765,0.49422442307692305,0.4,0.47290887500000006,False,False,False,False,False,False,True
"Laptop Dell 15 DC15250 i5-1334U/16GB/512GB/15.6"" FHD/Win 11/Office Home 2024/Microsoft 365 (71092479)",dell,Intel,i5-1334u,13.0,nan,16,,,512.0,15.6,,nan,Intel,Intel Graphics,Integrated,nan,nan,nan,nan,22990000,nan,False,0,,In Stock,https://fptshop.com.vn/may-tinh-xach-tay/dell-15-dc15250-i5-1334u-71092479?sku=00927402,https://cdn2.fptshop.com.vn/unsafe/dell_15_dc15250_silver_01_050bd1cfe2.png,fpt,,,0.23076923076923067,0.0,0.09214501510574018,0.5,0.8333333333333333,0.5,0.48,0.6195714285714287,0.5,0.45742252747252754,0.43697101648351644,0.43584214285714284,0.4808401373626374,0.43333333333333335,0.46314261309523813,False,False,False,False,False,False,True
MacBook Neo 13 8GB/256GB/20W,apple,Apple,nan,nan,nan,8,,,256.0,13.0,,nan,Apple,Apple A18 PRO GPU,Integrated,nan,16 hours,nan,16.0,15990000,nan,False,0,,In Stock,https://fptshop.com.vn/may-tinh-xach-tay/macbook-neo-13-inch-8gb-256gb?sku=00926641,https://cdn2.fptshop.com.vn/unsafe/Mac_Book_13_in_A18_Pro_Citrus_1_f70ec68b06.png,fpt,,,0.0,0.0,0.0,0.5,0.0,0.5,0.48,0.1925,0.5,0.230625,0.34565625,0.3331875,0.37878124999999996,0.6000000000000001,0.3711703125,False,False,False,False,False,True,False
"Laptop HP 15-fd1289TU Ultra 7-155H/AI/16GB/512GB/15.6""FHD/Win11_C2CV8PA",hp,Intel,core ultra 7,7.0,nan,16,,,512.0,15.6,,nan,Intel,Intel Graphics,Integrated,nan,nan,nan,nan,24990000,nan,False,0,,In Stock,https://fptshop.com.vn/may-tinh-xach-tay/hp-15-fd1289tu-ultra-7-155h-c2cv8pa?sku=00922844,https://cdn2.fptshop.com.vn/unsafe/00922844_hp_15_fd1289tu_c2cv8pa_bac_01_216c5b8b09.png,fpt,,,0.23076923076923067,0.0,0.12235649546827794,0.5,0.8333333333333333,0.5,0.48,0.5790000000000001,0.5,0.4391653846153847,0.43240673076923075,0.430365,0.4726244230769231,0.43333333333333335,0.45305554166666673,False,False,False,False,False,False,True
MacBook Neo 13 8GB/256GB/20W,apple,Apple,nan,nan,nan,8,,,256.0,13.0,,nan,Apple,Apple A18 PRO GPU,Integrated,nan,16 hours,nan,16.0,15990000,nan,False,0,,In Stock,https://fptshop.com.vn/may-tinh-xach-tay/macbook-neo-13-inch-8gb-256gb?sku=00926643,https://cdn2.fptshop.com.vn/unsafe/Mac_Book_13_in_A18_Pro_Citrus_1_f70ec68b06.png,fpt,,,0.0,0.0,0.0,0.5,0.0,0.5,0.48,0.1925,0.5,0.230625,0.34565625,0.3331875,0.37878124999999996,0.6000000000000001,0.3711703125,False,False,False,False,False,True,False
MacBook Neo 13 8GB/256GB/20W,apple,Apple,nan,nan,nan,8,,,256.0,13.0,,nan,Apple,Apple A18 PRO GPU,Integrated,nan,16 hours,nan,16.0,15990000,nan,False,0,,In Stock,https://fptshop.com.vn/may-tinh-xach-tay/macbook-neo-13-inch-8gb-256gb?sku=00926642,https://cdn2.fptshop.com.vn/unsafe/Mac_Book_13_in_A18_Pro_Citrus_1_f70ec68b06.png,fpt,,,0.0,0.0,0.0,0.5,0.0,0.5,0.48,0.1925,0.5,0.230625,0.34565625,0.3331875,0.37878124999999996,0.6000000000000001,0.3711703125,False,False,False,False,False,True,False
"Laptop Lenovo IdeaPad Slim 3 14ARP10 R5-7535HS/16GB/512GB/14""WUXGA/W11SL (83K600E6VN)",lenovo,AMD,ryzen 5,5.0,nan,16,,,512.0,14.0,,nan,AMD,AMD Radeon Graphics,Integrated,nan,nan,nan,nan,18990000,nan,False,0,,In Stock,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-ideapad-slim-3-14arp10-r5-7535hs-83k600e6vn?sku=00927908,https://cdn2.fptshop.com.vn/unsafe/lenovo_ideapad_slim_3_14arp10_xam_01_f3e56b5b24.png,fpt,,,0.23076923076923067,0.0,0.03172205438066465,0.5,0.1666666666666668,0.5,0.48,0.4481428571428572,0.5,0.38027967032967036,0.4176853021978022,0.4126992857142857,0.4461258516483516,0.5666666666666667,0.44718785119047616,False,False,False,False,False,True,False
"Laptop Acer Gaming Nitro ProPanel ANV15-41-R7CR R5 7535HS/16GB/512GB/15.6"" FHD/Nvidia GeForce RTX4050 6GB/Win11",acer,AMD,ryzen 5,5.0,nan,16,,,512.0,15.6,,nan,NVIDIA,RTX 4050,Dedicated,nan,nan,nan,nan,27990000,nan,False,0,,In Stock,https://fptshop.com.vn/may-tinh-xach-tay/acer-gaming-nitro-v-15-propanel-anv15-41-r7cr-r5-7535hs?sku=00920710,https://cdn2.fptshop.com.vn/unsafe/acer_nitro_propanel_anv15_41_black_01_0e20a85af5.png,fpt,,,0.23076923076923067,0.0,0.16767371601208458,0.5,0.8333333333333333,0.5,0.64,0.4481428571428572,0.5,0.42827967032967035,0.5256853021978022,0.5150992857142858,0.4677258516483517,0.43333333333333335,0.44704118452380953,False,False,False,False,False,False,True
